Schedule States Report,,,,,,,,,,
Date Period:,11/17/25 - 11/18/25,,12:00 AM - 12:00 AM,,,,,,,
Site,Time zone,Team,Agent,Date,Schedule State,Start Time,End Time,Duration,Paid Hours,
Banking US HUB,America/New_York,!Loan - CBS Banking US,John Doe,11/17/25,BOOT UP,4:00 PM,4:07 PM,00:07,00:07,
Banking US HUB,America/New_York,!Loan - CBS Banking US,John Doe,11/17/25,US Savings Banking,4:07 PM,6:00 PM,00:53,00:53,
Banking US HUB,America/New_York,!Loan - CBS Banking US,John Doe,,,,,02:00,02:00,Total for Agent
Banking US HUB,America/New_York,!Loan - CBS Banking US,John Smith,11/17/25,Day Off,Full Day,Full Day,07:30,00:00,
Banking US HUB,America/New_York,!Loan - CBS Banking US,John Smith,,,,,07:30,00:00,Total for Agent
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,11/17/25,BOOT UP,1:30:00 PM,1:37:00 PM,00:07,00:07,
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,11/17/25,US Savings Banking,1:37:00 PM,3:30:00 PM,01:53,01:53,
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,11/17/25,Break 15 Mins / 2:00 - 2:30,3:30:00 PM,3:45:00 PM,00:15,00:15,
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,11/17/25,US Savings Banking,3:45:00 PM,5:30:00 PM,01:45,01:45,
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,11/17/25,TIME OFF - PAID,5:30:00 PM,8:00:00 PM,02:30,02:30,
Banking US HUB,America/New_York,!Loan - CBS Banking US,Lisa Cruise,,,,,8:30:00 AM,8:00:00 AM,Total for Agent
Banking US HUB,America/New_York,!Loan - CBS Banking US,,,,,,,10:00:00,Total for Team
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,BOOT UP,1:30:00 PM,1:37:00 PM,00:07,00:07,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,US Savings Banking,1:37:00 PM,3:30:00 PM,01:53,01:53,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,Break 15 Mins / 2:00 - 2:30,3:30:00 PM,3:45:00 PM,00:15,00:15,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,US Savings Banking,3:45:00 PM,5:30:00 PM,01:45,01:45,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,Break 15 Mins / 2:10 - 2:30,5:30:00 PM,5:45:00 PM,00:15,00:15,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,11/17/25,TIME OFF - PAID,5:45:00 PM,8:00:00 PM,02:15,02:15,
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Parker,,,,,8:30:00 AM,8:00:00 AM,Total for Agent
Banking US HUB,Asia/Kolkata,!Loan - CBS Banking US,Lisa Cruise,11/17/25,SBS,2:30:00 AM,4:37:00 AM,02:07,02:07,
